,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
20,,fvky12,"2021-04-14 06:44:59",1,no,no,"Puasa bor",UCLGjPVuNqNs6ls-Z3nIJCbw,UgzYKUJBdHyxKKcUoAl4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzYKUJBdHyxKKcUoAl4AaABAg
21,,Hitam,"2021-04-14 09:04:38",1,no,no,"Maaf Telat 1 Tahunn",UCgtqllh_XeeI368nsnBxvbw,UgzicePCXQNZX1QAqqR4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzicePCXQNZX1QAqqR4AaABAg
22,,"Komala Sari","2021-04-14 09:10:45",1,no,no,"semangatttttt cantikk <3!",UCG8E2AhsFZVwwxjrlGaoagw,UgzmBJRCZbPSOejmZ2V4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzmBJRCZbPSOejmZ2V4AaABAg
23,,"jung reca","2021-04-14 09:32:33",1,no,no,"Koo bisa ya gw telat 1 thn ☺",UCXckhp7D2jcep8QrTWwdbGw,UgyNf3ERw1VmNb_EYm54AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyNf3ERw1VmNb_EYm54AaABAg
24,,"pengin alok","2021-04-14 09:55:43",0,no,no,"Maafkan aku kekeyi yang pernah menghujat mu 1 tahun lalu.:(",UCg0_bkTHvreq2LguVsQXWcA,UgzJkm9G-aPU3bGIKXZ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzJkm9G-aPU3bGIKXZ4AaABAg
25,,"Daffa ABC GAMING","2021-04-14 11:23:50",0,no,no,"Dia orang nganjuk kan",UCAyioAkeLYT7HsPx7OLONQA,UgxMn1RC3tYBWJUHZFN4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxMn1RC3tYBWJUHZFN4AaABAg
26,,"Akmal Gamal","2021-04-14 13:07:38",1,no,no,"Kasihan lho",UCTdJhRuPdom8P6b5_nKllaQ,Ugwv1UrHssbhvYDy9wd4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugwv1UrHssbhvYDy9wd4AaABAg
27,,"Fatimah Zahro","2021-04-14 14:17:19",0,no,no,"Wkwkwk 
Kok sekarang kayak gini yaaaa
Dulu ngak
Nyenyenyenye",UCQ1gJ4Aw1k_3LlLBtfhfhgw,UgxPEMbuaRRg9n5Nui94AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxPEMbuaRRg9n5Nui94AaABAg
28,,"djafargaming abdullah","2021-04-14 14:35:13",0,no,no,"Mantap broo",UC2Gm0jpM825pgkGMn3cHRYA,Ugwq-k7XTKFf0XridIZ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugwq-k7XTKFf0XridIZ4AaABAg
29,,"djafargaming abdullah","2021-04-14 14:35:24",0,no,no,"Ya bro nanti main game horror ya",UC2Gm0jpM825pgkGMn3cHRYA,UgwMtkGuTnyvPxrgvRh4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwMtkGuTnyvPxrgvRh4AaABAg
30,,"dinda almiranda","2021-04-14 16:49:03",0,no,no,Fighting,UCap3-CJmietYpYvT9zS0q7A,Ugx4D2D8GVdF0UYFGTN4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugx4D2D8GVdF0UYFGTN4AaABAg
31,,"Kheysa Chandra","2021-04-14 18:08:09",0,no,no,"Kenapa dah orang banyak yang dislike,,, udah gak ngerti lagi dah🤦🏻",UCQOlLAizrIvMVQ34gMU6zlQ,UgwSP-MXfM67yFeMw6R4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwSP-MXfM67yFeMw6R4AaABAg
32,,"Zul Zul","2021-04-14 18:27:44",0,no,no,"Tahu apa bakso itu kak jadi pengen",UCJxhvwPH43cVNc5WOw7_0sw,UgzeUh9vB8A2HARPHFV4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzeUh9vB8A2HARPHFV4AaABAg
33,,"Marjtha Nur Sanitha","2021-04-15 03:22:48",0,no,no,"Ka mainpopitdong",UCXtvXP9YPeDOWUhSYOfvksw,Ugyn_mwdHntXGQC0aD14AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugyn_mwdHntXGQC0aD14AaABAg
34,,"Wadi Speed","2021-04-15 04:15:27",0,no,no,"Kak kekey jomblo ya, karna bajunya ada tulisan jomblo",UCLX6JfrlTFXLRfbh67iq4QQ,UgyNIBrdHTFFobzH9Yl4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyNIBrdHTFFobzH9Yl4AaABAg
35,,"Afika Aliza","2021-04-15 05:12:02",0,no,no,"Sakfok sama baju nya",UCpJV_w4adzm5gLmsBZJUF7w,UgzfCgyYKgYNtiY1SL14AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzfCgyYKgYNtiY1SL14AaABAg
36,,"Makayla sabreena Azzahra","2021-04-15 05:17:52",0,no,no,"Smngt Kaka😊😊",UCEt3UTBOem2N1eTnEEY4g_g,UgzxNpaL_Ti8PbLI3v54AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzxNpaL_Ti8PbLI3v54AaABAg
37,,"Liana kartika Sari","2021-04-15 06:29:51",2,no,no,"Op iku saosse Ra di Goo licik sitik iku",UC5xLgOujsuHtuoOaqKEp3mA,UgziymsoefbitJgn-zh4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgziymsoefbitJgn-zh4AaABAg
38,,"PASURUAN YOUTUBER OFFICIAL","2021-04-15 09:49:49",3,no,no,"Kak kekey kaka masih sekolah ngak",UCA03ZteYDgVM5VA8IejLjig,UgxLPhSEDeaMQ6hj3EB4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxLPhSEDeaMQ6hj3EB4AaABAg
39,,"InZz 24","2021-04-15 11:04:31",0,no,no,Aesemer,UCqf0344BfuB_ffN0dA6cVSw,UgyuSkTBoQt9GQbnhCZ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyuSkTBoQt9GQbnhCZ4AaABAg
40,,"ussr_ roblox_engglish","2021-04-15 11:44:14",0,no,no,"Siapa nih yang asmr tapi mala keganggu sama motor",UCc4pCXG254TPCfqEgQEnOoQ,UgwdvgMhk4kxYpU6cq54AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwdvgMhk4kxYpU6cq54AaABAg
41,,"ussr_ roblox_engglish","2021-04-15 11:44:34",3,no,no,"Siapa nih yang nonton asmr saat ramadhan",UCc4pCXG254TPCfqEgQEnOoQ,UgzGQBIcbZJFIJJAGvp4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzGQBIcbZJFIJJAGvp4AaABAg
42,,"ussr_ roblox_engglish","2021-04-15 11:46:11",0,no,no,"Siapa nih yang video asmr nya keganggu sama kucing sendiri. Menurut kalian, kalian pilih yang mana? 
Hewan peliharaan/hewan liar
Silakan dipilih",UCc4pCXG254TPCfqEgQEnOoQ,UgzVTEA2qcXd6TdB7YF4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzVTEA2qcXd6TdB7YF4AaABAg
43,,"Wak Jhon","2021-04-15 14:24:43",0,no,no,"Gaya gaya banget!! Terus jelekkkkk!!!!!!  Gw hate banget sama diaaaa!!!",UC7cRczuDpwqYlITccD-g1Ow,UgzaMm2sOWs1rGICky94AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzaMm2sOWs1rGICky94AaABAg
44,,"Maela Basri","2021-04-16 01:53:12",2,no,no,"Kakak kekey cantik banget sama kayak nama nya cantika",UCb8BDpXH7lgWHcyzdpeUV1Q,UgxzxGYWQeEIu4HiEF94AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxzxGYWQeEIu4HiEF94AaABAg
45,,"Jehan Kalea","2021-04-16 03:07:02",3,no,no,"Knp banyak yang dislike apa yang salah sih🤔",UC0tmkp_9lrsKMl85f3hFrNA,UgybZRPQNAJ3LVoRYKR4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgybZRPQNAJ3LVoRYKR4AaABAg
46,,"arya Dirga","2021-04-16 03:08:03",1,no,no,"Kalo makan itu jangan banyak omong nya kekeyi",UCu-xYZHF5qDEq7p9QaQgXWA,UgwOQxp2REGPgk8aSI54AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwOQxp2REGPgk8aSI54AaABAg
