,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
86,,"Muhammad Aufal Rizki","2021-04-18 16:15:04",0,no,no,"Kok dislike nya ldbih banyak :(",UCQdoLI8dqRBGTf2YIBnp0Qg,Ugzl6Oj9WsrlbA8f97J4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugzl6Oj9WsrlbA8f97J4AaABAg
87,,"Rita Sianturi","2021-04-19 01:13:54",0,no,no,Lug,UC7woQBsmSohTuk79rvz91vg,UgyRv9FfEjgR62T0Tyd4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyRv9FfEjgR62T0Tyd4AaABAg
88,,"Windi agustin","2021-04-19 02:14:28",0,no,no,"Kalau makan gak di kunyah😂 langsung telen",UC2TEXUda4X6JNDyF7fsHaFg,UgzSXVshXeCggdoCwmx4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzSXVshXeCggdoCwmx4AaABAg
89,,"Khaira Nazwa Sabhany","2021-04-19 03:56:13",0,no,no,"Telat 1 Tahun ❎
Telat 2 Tahun ☑️",UC6mNhqNRb148IIfzEQ0dXmQ,UgzMGT4uIdVElLK2TCl4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzMGT4uIdVElLK2TCl4AaABAg
90,,"Yanti Wjayanti","2021-04-19 05:45:05",0,no,no,"Heran pada bilang jiji liatnya, semua yang mukbang juga smaa gitu kok makannya banyak sekali ngap. Bedanya cmn goodlookingnya doang kan? Ckckck",UCfqWChxdyLPWcOLL6wGFOiA,Ugw76lY-pB4wz05QxMZ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugw76lY-pB4wz05QxMZ4AaABAg
91,,"Ja Lu","2021-04-19 06:03:52",0,no,no,"Ya ampun bro Setega itu kah sampai sampai ngehina fisik orang. Ingat sadar bro kita semua itu ciptaan Allah jadi kalau kalian ngehina fisik orang sama aja kalian berani sama Allah.😓",UC9TKGfxMquJ9cdoqA348BCw,Ugy3gWKug3wf0xHhZKV4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugy3gWKug3wf0xHhZKV4AaABAg
92,,"Eko Purnomo","2021-04-19 08:21:52",0,no,no,"Kak 24 jam makan makanan serba ungu dong yg setuju like ya",UC6TC66prbu3B6mfmNFIqyxg,Ugz1ks7uZMlgY5GxqW94AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugz1ks7uZMlgY5GxqW94AaABAg
93,,"GERALD ID","2021-04-19 10:40:32",0,no,no,"gk ad suara nya sedikit pun cuman lagu",UCGTF55rks2wb4Uv6JIT5Puw,UgyHtaYMWudPo6QWIw54AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyHtaYMWudPo6QWIw54AaABAg
94,,"Mhmmd Ardika","2021-04-19 18:21:13",0,no,no,"4:13 Epic moment",UC5IMzqWOMW6pBUTa06NKSSw,UgzwvTlv-X9_yyurmqp4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgzwvTlv-X9_yyurmqp4AaABAg
95,,"BOCIL KEMATIAN","2021-04-19 19:47:57",0,no,no,Tonggos,UCglGojR46xYOtBwfYmBUrhA,Ugw9vcQg5PZut4MIGmt4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=Ugw9vcQg5PZut4MIGmt4AaABAg
96,,"Dania Riswana","2021-04-20 01:13:13",0,no,no,"Jangan hujat dia kekeyi cuma mau menghibur kita doang",UCFaLfhehfTuS1I6DwH19qSQ,UgwaC9It3qYo5L-Plld4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgwaC9It3qYo5L-Plld4AaABAg
97,,"RED IMPOSTOR","2021-04-20 02:28:07",0,no,no,"Makan pentol dinista, dasar warga indonesia",UCab62O3ZwpU_mRfO4xoD7WQ,UgyfwHpwM3cdC0quRUR4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyfwHpwM3cdC0quRUR4AaABAg
98,,"husna oficial","2021-04-20 03:48:13",0,no,no,"Kak coba mukbang gurita",UCfdTLl3U8Y4th-N0DuLWQRA,UgyUCCgANxOzohnhmIJ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgyUCCgANxOzohnhmIJ4AaABAg
99,,"Naila Latifa","2021-04-20 04:57:27",0,no,no,"Kk mukbang pentol lagi dongk kak yang banyak tapi pedes oke",UCczbwSZE09vXh4NoBVvTtQg,UgxcsmfbVQYeypaRbtZ4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgxcsmfbVQYeypaRbtZ4AaABAg
100,,"Kamal Muhammad","2021-04-20 07:15:04",0,no,no,"279k dislike🗿",UCL-iNX6e6gWP7sEI-BCcPuw,UgylB1K7_M0VK6oJazV4AaABAg,https://www.youtube.com/watch?v=5xjioMkekHQ&lc=UgylB1K7_M0VK6oJazV4AaABAg
